Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	Category
1849	14,13,13,13,13,11,11,11,11	12,11,11,11,11,10,10,10,10	12,11,11,11,11,10,10,10,10	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.11872465163469315,0.1404360830783844,0.22935405373573303,0.35028672218322754,0.42620715498924255,0.2847513258457184,0.2847513258457184,0.2847513258457184,0.2714855372905731	5.8463979425897765E-5,2.6632353980463947E-4,5.07531863127887E-4,7.457434078621731E-4,0.001368338820379672,0.00786907506178997,0.00786907506178997,0.00786907506178997,0.008228903976602347	2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1	3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3	5.42,5.51,5.51,5.51,5.51,5.6,5.6,5.6,5.6	1,1,1,1,1,1,1,1,1	7,6,6,4,4,4,4,4,4	7,6,6,4,4,4,4,4,4	37.0,34.0,33.0,32.0,32.0,29.0,29.0,29.0,29.0	14.0,13.0,13.0,11.0,11.0,8.0,8.0,8.0,7.0	70.0,63.0,61.0,60.0,59.0,51.0,51.0,51.0,51.0	20.0,18.0,17.0,17.0,15.0,11.0,11.0,11.0,10.0	51.0,47.0,46.0,43.0,43.0,37.0,37.0,37.0,36.0	90.0,81.0,78.0,77.0,74.0,62.0,62.0,62.0,61.0	510.51828,449.9217,430.83783,417.8224,401.54358,322.9861,322.9861,322.9861,315.36545	26.428572,23.538462,21.576923,24.727272,21.818182,19.9375,19.9375,19.9375,20.714287	13492.269,10590.465,9296.155,10331.607,8760.951,6439.5356,6439.5356,6439.5356,6532.5703	749.5705,588.35913,516.45306,573.9782,486.7195,357.75198,357.75198,357.75198,362.92056	0.17017277,0.1499739,0.14361261,0.13927414,0.13384786,0.10766204,0.10766204,0.10766204,0.10512181	97.63029479980469,99.69691467285156,99.92229461669922,100.08180236816406,100.2884521484375,102.96455383300781,102.96455383300781,102.96455383300781,103.08871459960938	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	3,3,2,2,2,2,2,2,2	2,1,1,1,1,0,0,0,0	1,1,1,1,1,0,0,0,0	1,1,1,1,1,0,0,0,0	Rodrigo Turini,Otávio Garcia,Otávio Garcia,Lucas Cavalcanti,Lucas Cavalcanti,Otávio Garcia,Otávio Garcia,Otávio Garcia,Otávio Garcia	0,21,21,21,22,22,22,126,363	124,145,145,145,146,146,146,250,487	03/09/13-02/05/13,24/09/13-02/05/13,24/09/13-02/05/13,24/09/13-02/05/13,25/09/13-02/05/13,25/09/13-02/05/13,25/09/13-02/05/13,07/01/14-02/05/13,01/09/14-02/05/13	0,0,1,1,1,1,0,0,1	0,1,2,2,2,4,0,0,2	0,67,23,35,13,85,0,0,21	0,7,34,23,21,10,10,14,21	0,7,34,23,21,10,0,0,21	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	157.json	Ugly
1405	3,3,3,3,7	3,3,3,3,7	3,3,3,3,7	0.0,0.0,0.0,0.0,0.0	0.016690658405423164,0.014586144126951694,0.014586144126951694,0.040569454431533813,0.2815861701965332	0.08440162646397639,0.10200893349245281,0.10200893349245281,0.12908699147083041,0.020906968706739307	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,2	1,1,1,1,2	3.77,3.77,3.77,3.77,6.05	0,0,0,0,1	3,3,3,3,4	3,3,3,3,4	22.0,21.0,21.0,19.0,25.0	3.0,3.0,3.0,3.0,4.0	30.0,29.0,29.0,29.0,45.0	5.0,5.0,5.0,4.0,6.0	25.0,24.0,24.0,22.0,29.0	35.0,34.0,34.0,33.0,51.0	162.53496,155.88872,155.88872,147.16124,247.75703	18.333332,17.5,17.5,12.666667,18.75	2979.8074,2728.0525,2728.0525,1864.0424,4645.4443	165.54486,151.55847,151.55847,103.55791,258.08023	0.05417832,0.051962905,0.051962905,0.049053747,0.08258568	126.49983978271484,126.7169418334961,126.7169418334961,127.01653289794922,110.35152435302734	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1,0,0,0,0	0,0,0,0,0	0,0,0,0,0	2,2,2,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	Otávio Garcia,Otávio Garcia,Otávio Garcia,Otávio Garcia,Otávio Garcia	0,0,0,0,0	567,567,567,567,567	20/11/14-02/05/13,20/11/14-02/05/13,20/11/14-02/05/13,20/11/14-02/05/13,20/11/14-02/05/13	0,1,0,2,5	0,2,0,4,6	0,7,0,48,101	0,34,8,3,7	0,34,1,3,7	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1021.json	Ugly
1849	3	3	3	0.0	0.09585566818714142	0.4040137472693717	0	0	0	1	1	3.77	0	2	2	15.0	4.0	19.0	5.0	19.0	24.0	101.950264	9.375	955.78375	53.0991	0.03398342	128.92515563964844	0	0	0	1	0	0	0	2	0	0	0	Rodrigo Turini	0	124	03/09/13-02/05/13	0	0	0	0	0	0	0	0	115.json	Good
1849	3,3,3	3,3,3	3,3,3	0.0,0.0,0.0	0.8872378468513489,0.9077202677726746,0.8872378468513489	0.9125802889049899,0.9395706191740705,0.9125802889049899	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	3.77,3.77,3.77	0,0,0	0,0,0	0,0,0	9.0,9.0,9.0	2.0,2.0,2.0	10.0,10.0,10.0	2.0,2.0,2.0	11.0,11.0,11.0	12.0,12.0,12.0	41.51318,41.51318,41.51318	4.5,4.5,4.5	186.80931,186.80931,186.80931	10.378295,10.378295,10.378295	0.013837727,0.013837727,0.013837727	133.59722900390625,133.59722900390625,133.59722900390625	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	Rodrigo Turini,Otávio Garcia,Otávio Garcia	0,408,443	124,532,567	03/09/13-02/05/13,16/10/14-02/05/13,20/11/14-02/05/13	0,2,2	0,4,4	0,25,25	0,8,8	0,8,8	0,0,0	0,0,1	0,0,1	571.json	Bad
1849	7,9,9,10,10,10	7,7,7,7,7,7	7,8,8,9,9,9	0.0,0.0,0.0,0.0,0.0,0.0	0.03720627725124359,0.22807855904102325,0.22472117841243744,0.17945316433906555,0.3515297770500183,0.3515297770500183	7.393312832778593E-4,9.64948509853616E-4,9.718190902916484E-4,8.12671442638073E-4,0.005966454151068608,0.006125478097861829	1,1,1,1,1,1	1,1,1,1,1,1	2,2,2,2,2,2	2,2,2,2,2,2	2,2,2,2,2,2	5.11,7.42,7.42,8.43,8.43,8.43	1,1,1,1,1,1	8,10,10,11,8,8	8,10,10,11,8,8	28.0,29.0,29.0,30.0,27.0,27.0	8.0,7.0,7.0,7.0,8.0,8.0	57.0,61.0,61.0,64.0,52.0,52.0	11.0,10.0,10.0,10.0,11.0,11.0	36.0,36.0,36.0,37.0,35.0,35.0	68.0,71.0,71.0,74.0,63.0,63.0	351.5549,367.0647,367.0647,385.49957,323.14484,323.14484	19.25,20.714287,20.714287,21.428572,18.5625,18.5625	6767.4316,7603.4834,7603.4834,8260.705,5998.376,5998.376	375.9684,422.41574,422.41574,458.92807,333.2431,333.2431	0.11718497,0.1223549,0.1223549,0.12849985,0.10771494,0.10771494	108.53195190429688,106.14424896240234,106.14424896240234,103.98135375976562,104.89884185791016,104.89884185791016	1,1,0,0,0,0	0,0,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	Rodrigo Turini,Otávio Garcia,Fernanda Bernardo,Otávio Garcia,Otávio Garcia,Otávio Garcia	0,207,213,216,443,443	124,331,337,340,567,567	03/09/13-02/05/13,29/03/14-02/05/13,04/04/14-02/05/13,07/04/14-02/05/13,20/11/14-02/05/13,20/11/14-02/05/13	0,3,1,2,1,1	0,4,2,3,2,2	0,41,5,20,37,1	0,3,1,1,28,34	0,3,1,1,28,34	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	327.json	Ugly
1906	6	6	6	0.0	0.008410441689193249	0.04396363050928485	0	0	0	1	1	3.77	0	3	3	19.0	6.0	36.0	11.0	25.0	47.0	218.26123	17.416668	3801.3833	211.18796	0.07275374	113.7378921508789	0	0	0	1	0	0	0	1	2	0	0	Rodrigo Turini	0	67	08/07/13-02/05/13	0	0	0	0	0	0	0	0	1147.json	Good
1849	3	3	3	0.0	0.027430729940533638	0.4921299008156217	0	0	0	1	1	3.77	0	2	2	14.0	4.0	18.0	4.0	18.0	22.0	91.73836	7.0	642.1685	35.67603	0.030579453	129.47398376464844	0	0	0	1	0	0	0	0	0	0	0	Rodrigo Turini	0	124	03/09/13-02/05/13	0	0	0	0	0	0	0	0	253.json	Good
1412	11,11,4,4	10,10,4,4	10,10,4,4	0.0,0.0,0.0,0.0	0.17950816452503204,0.17950816452503204,0.11102720350027084,0.12088127434253693	0.0036727620789915724,0.0036727620789915724,0.26937482153380127,0.23777425582429612	0,0,0,0	1,1,0,0	1,1,0,0	2,2,1,1	2,2,1,1	7.33,7.33,4.0,4.0	2,2,0,0	4,4,3,3	4,4,3,3	27.0,27.0,16.0,16.0	10.0,10.0,5.0,4.0	50.0,50.0,22.0,22.0	17.0,17.0,7.0,6.0	37.0,37.0,21.0,20.0	67.0,67.0,29.0,28.0	349.0334,349.0334,127.377205,121.013985	22.95,22.95,11.2,12.0	8010.3164,8010.3164,1426.6246,1452.1678	445.01758,445.01758,79.25693,80.675995	0.11634446,0.11634446,0.042459067,0.040337995	102.79125213623047,102.79125213623047,123.1068344116211,123.37332153320312	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3,3,0,0	1,1,0,0	1,1,0,0	Otávio Garcia,Otávio Garcia,Otávio Garcia,Mohammed Ezzat	0,0,0,474	560,560,560,1034	13/11/14-02/05/13,13/11/14-02/05/13,13/11/14-02/05/13,01/03/16-02/05/13	0,0,1,1	0,0,9,2	0,0,156,21	0,9,2,8	0,1,2,8	0,0,0,0	0,0,0,0	0,0,0,0	845.json	Bad
1827	3,3,3	3,3,3	3,3,3	0.0,0.0,0.0	0.062013328075408936,0.06546343117952347,0.06546343117952347	0.6958079285167635,0.7093698611436279,0.7093698611436279	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	3.77,3.77,3.77	0,0,0	1,1,1	1,1,1	12.0,12.0,12.0	4.0,4.0,4.0	15.0,15.0,15.0	5.0,5.0,5.0	16.0,16.0,16.0	20.0,20.0,20.0	80.0,80.0,80.0	7.5,7.5,7.5	600.0,600.0,600.0	33.333332,33.333332,33.333332	0.026666667,0.026666667,0.026666667	130.18594360351562,130.18594360351562,130.18594360351562	1,0,0	0,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	Otávio Garcia,Otávio Garcia,Otávio Garcia	0,0,104	146,146,250	25/09/13-02/05/13,25/09/13-02/05/13,07/01/14-02/05/13	0,1,0	0,2,0	0,5,0	0,2,14	0,2,0	0,0,0	0,0,0	0,0,0	175.json	Bad
1824	3,5,5,5,5	3,5,5,5,5	3,5,5,5,5	0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0	0.029116276397673294,9.16494189641306E-6,9.034461071231528E-6,3.349610154851818E-5,5.284992691238188E-5	0,1,1,1,1	0,1,1,1,1	0,2,2,2,2	1,2,2,2,2	1,2,2,2,2	3.77,3.92,3.92,3.92,3.92	0,0,0,0,0	3,6,6,6,7	3,6,6,6,7	19.0,31.0,31.0,30.0,29.0	7.0,15.0,15.0,14.0,14.0	33.0,61.0,61.0,56.0,54.0	8.0,21.0,21.0,20.0,20.0	26.0,46.0,46.0,44.0,43.0	41.0,82.0,82.0,76.0,74.0	192.71803,452.93207,452.93207,414.9168,401.54358	10.857143,21.699999,21.699999,21.428572,20.714287	2092.3674,9828.625,9828.625,8891.074,8317.688	116.24264,546.0347,546.0347,493.94858,462.0938	0.064239345,0.15097736,0.15097736,0.1383056,0.13384786	125.61409759521484,112.66524505615234,112.66524505615234,113.12110137939453,113.29146575927734	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	4,4,4,4,4	0,2,2,2,2	0,0,0,0,0	0,0,0,0,0	Lucas Cavalcanti,Lucas Cavalcanti,Lucas Cavalcanti,Mario Amaral,Denilson Telaroli	0,0,0,6,299	149,149,149,155,448	28/09/13-02/05/13,28/09/13-02/05/13,28/09/13-02/05/13,04/10/13-02/05/13,24/07/14-02/05/13	0,3,1,1,1	0,4,2,2,2	0,201,5,14,5	0,2,6,3,9	0,2,6,3,7	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	63.json	Ugly
1849	2	2	2	0.0	0.8495973348617554	0.9290833843899778	0	0	0	1	1	0.0	0	0	0	7.0	1.0	8.0	1.0	8.0	9.0	27.0	3.5	94.5	5.25	0.009	142.4026641845703	0	0	0	1	0	0	0	0	0	0	0	Rodrigo Turini	0	124	03/09/13-02/05/13	0	0	0	0	0	0	0	0	679.json	Good
1920	13,5,3	11,5,3	11,5,3	0.09090909090909091,0.0,0.0	0.03216495364904404,0.004016988445073366,0.2035612314939499	0.0024657942589586244,0.1047764699517808,0.7136407809607158	0,0,0	0,0,0	0,0,0	2,1,1	2,1,1	2.38,1.6,1.89	1,0,0	7,3,2	7,3,2	29.0,21.0,12.0	8.0,6.0,5.0	67.0,35.0,16.0	13.0,6.0,5.0	37.0,27.0,17.0	80.0,41.0,21.0	416.7563,194.9504,85.83672	23.5625,10.5,6.0	9819.82,2046.9791,515.0203	545.5456,113.72106,28.61224	0.13891876,0.064983465,0.028612241	100.32508850097656,117.2788314819336,129.81976318359375	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	4,1,0	0,0,0	0,0,0	Rodrigo Turini,Rodrigo Turini,Otávio Garcia	0,0,85	53,53,138	24/06/13-02/05/13,24/06/13-02/05/13,17/09/13-02/05/13	0,2,1	0,12,4	0,276,121	0,2,13	0,2,13	0,0,0	0,0,0	0,0,0	1177.json	Bad
1849	4	4	4	0.0	0.1536785513162613	0.7002911092329425	0	0	0	1	1	4.0	0	1	1	12.0	4.0	18.0	5.0	16.0	23.0	92.0	7.5	690.0	38.333332	0.030666666	124.7987289428711	0	0	0	1	0	0	0	1	0	0	0	Rodrigo Turini	0	124	03/09/13-02/05/13	0	0	0	0	0	0	0	0	552.json	Good
1849	7,10,9	7,7,7	7,8,7	0.0,0.0,0.0	0.024665888398885727,0.1322687268257141,0.20629629492759705	0.21071319960491885,0.2628019368060583,0.25486708130725094	1,1,1	1,1,1	2,2,2	2,2,2	2,2,2	2.56,5.66,5.11	1,1,1	4,5,4	4,5,4	17.0,18.0,17.0	5.0,5.0,5.0	31.0,33.0,31.0	13.0,13.0,13.0	22.0,23.0,22.0	44.0,46.0,44.0	196.215,208.08385,196.215	22.099998,23.4,22.099998	4336.351,4869.162,4336.351	240.90839,270.509,240.90839	0.065405,0.069361284,0.065405	111.56436157226562,109.09575653076172,111.56436157226562	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	Rodrigo Turini,Adolfo Eloy,Adolfo Eloy	0,336,337	124,460,461	03/09/13-02/05/13,05/08/14-02/05/13,06/08/14-02/05/13	0,4,1	0,5,3	0,83,35	0,1,4	0,1,4	0,0,1	0,1,1	0,1,1	10.json	Bad
1849	7,7	7,7	7,7	0.0,0.0	0.07281042635440826,0.06580323725938797	0.2571820396350341,0.18588805101600744	2,2	1,1	3,3	2,2	2,2	6.05,6.05	1,1	4,6	3,4	15.0,15.0	4.0,4.0	34.0,36.0	8.0,8.0	19.0,19.0	42.0,44.0	178.41296,186.90881	15.0,15.0	2676.1943,2803.6323	148.67746,155.75735	0.05947099,0.06230294	112.05892944335938,111.81702423095703	1,1	0,0	0,0	0,0	0,0	0,0	0,0	1,1	0,0	0,0	0,0	Rodrigo Turini,Otávio Garcia	0,26	124,150	03/09/13-02/05/13,29/09/13-02/05/13	0,2	0,4	0,24	0,11	0,11	0,0	0,0	0,0	638.json	Bad
1849	3	3	3	0.0	0.3977782130241394	0.8373067386727435	0	0	0	1	1	3.77	0	0	0	13.0	3.0	15.0	3.0	16.0	18.0	72.0	6.5	468.0	26.0	0.024	130.7338104248047	0	0	0	1	1	0	0	0	0	0	0	Rodrigo Turini	0	124	03/09/13-02/05/13	0	0	0	0	0	0	0	0	105.json	Good
